Ship type,Reporting Period,Technical efficiency,tech_eff_name,tech_eff,Port of Registry,Home Port,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],Annual Total time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],C02 emissions per hour,C02 emissions per fuel consumption,EEOI_Index
Bulk carrier,2019,EEDI (3.53 gCO₂/t·nm),EEDI,3.53,PANAMA,,2050.49,6405.7,71.33,2581.33,3663.21,89.83,2808.1,93.67,1.71,292.63,5.33,2.28115095616253,3.123984998707626,5.33
Bulk carrier,2019,EEDI (5.63 gCO₂/t·nm),EEDI,5.63,PANAMA,,529.85,1663.53,0.0,690.95,950.33,22.25,685.0,65.48,3.65,205.59,11.45,2.4285109489051093,3.139624422006228,11.45
Bulk carrier,2019,EEDI (5.69 gCO₂/t·nm),EEDI,5.69,HONG KONG,,1150.71,3605.33,745.05,2553.01,160.79,146.48,1526.7,67.8,2.26,212.41,7.09,2.3615183074605355,3.13313519479278,7.09
Bulk carrier,2019,EEDI (4.55 gCO₂/t·nm),EEDI,4.55,Singapore,,1209.89,3800.75,418.32,1721.71,1544.57,116.15,1808.6,75.32,2.47,236.61,7.74,2.101487338272697,3.141401284414285,7.74
Bulk carrier,2019,EEDI (4.71 gCO₂/t·nm),EEDI,4.71,Singapore,Singapore,1486.0,4652.52,628.0,406.0,3447.0,171.0,1935.0,67.75,2.2,212.1,6.9,2.404403100775194,3.1309017496635265,6.9
Bulk carrier,2019,EEDI (3.96 gCO₂/t·nm),EEDI,3.96,Monrovia,,427.14,1332.81,0.0,1231.77,21.08,79.96,368.9,93.9,1.87,292.99,5.83,3.612930333423692,3.12031184155078,5.83
Bulk carrier,2019,EEDI (3.97 gCO₂/t·nm),EEDI,3.97,Monrovia,,805.3,2540.0,545.37,799.36,976.26,218.99,855.27,81.91,1.85,258.37,5.84,2.9698223952669918,3.154104060598535,5.84
Bulk carrier,2019,EEDI (4.07 gCO₂/t·nm),EEDI,4.07,Majuro,,494.76,1544.56,0.0,1396.84,104.34,43.39,619.4,84.34,2.14,263.31,6.67,2.4936390054891833,3.121836850189991,6.67
Bulk carrier,2019,EEDI (4.06 gCO₂/t·nm),EEDI,4.06,Majuro,,299.76,943.04,0.0,0.0,869.91,73.13,438.2,73.47,1.75,231.14,5.51,2.152076677316294,3.14598345342941,5.51
Bulk carrier,2019,EEDI (4.06 gCO₂/t·nm),EEDI,4.06,Majuro,,1624.87,5096.07,504.96,2656.83,1480.46,453.82,2045.2,73.93,2.19,231.88,6.88,2.491722080970076,3.136293980441512,6.88
Bulk carrier,2019,EEDI (4.07 gCO₂/t·nm),EEDI,4.07,Monrovia,,712.25,2229.94,156.78,982.05,981.21,109.91,841.4,79.95,2.09,250.3,6.56,2.65027335393392,3.130838890838891,6.56
Bulk carrier,2019,EEDI (3.9 gCO₂/t·nm),EEDI,3.9,Monrovia,,2230.6,7002.48,1678.38,2249.87,2068.81,1005.44,2994.68,68.95,1.95,216.44,6.13,2.33830659703207,3.139280910965659,6.13
Bulk carrier,2019,EEDI (4.5 gCO₂/t·nm),EEDI,4.5,Majuro,,2863.4,9017.29,192.33,3635.78,5012.15,177.03,4486.8,69.04,2.79,217.43,8.79,2.0097374520816618,3.1491548508765805,8.79
Bulk carrier,2019,EEDI (4.54 gCO₂/t·nm),EEDI,4.54,Majuro,,2128.55,6691.21,1460.67,3266.21,1430.42,533.91,3224.9,75.26,3.88,236.6,12.2,2.074858135135973,3.143553123018017,12.2
Bulk carrier,2019,EEDI (4.54 gCO₂/t·nm),EEDI,4.54,Majuro,,1354.67,4254.03,707.37,3000.05,217.11,329.51,2291.5,67.47,2.29,211.86,7.2,1.8564390137464541,3.1402703241379815,7.2
Bulk carrier,2019,EEDI (4.45 gCO₂/t·nm),EEDI,4.45,Majuro,,1360.32,4255.49,0.0,1714.41,2527.19,13.88,2611.11,60.37,2.36,188.87,7.38,1.6297628211756685,3.1283006939543636,7.38
Bulk carrier,2019,EEDI (4.52 gCO₂/t·nm),EEDI,4.52,Majuro,,453.4,1422.11,0.0,367.97,946.22,107.91,584.2,78.43,3.35,246.0,10.52,2.434286203355015,3.136546096162329,10.52
Bulk carrier,2019,EEDI (4.72 gCO₂/t·nm),EEDI,4.72,Hong Kong,Hong Kong,645.0,2021.13,149.0,0.0,1712.0,162.0,838.0,63.51,3.68,199.01,11.52,2.4118496420047735,3.1335348837209303,11.52
Bulk carrier,2019,EEDI (5.09 gCO₂/t·nm),EEDI,5.09,Valletta,Valletta,2041.0,6377.48,1040.0,2108.0,3063.0,167.0,2960.0,70.14,2.96,219.18,9.25,2.1545540540540538,3.12468397844194,9.25
Bulk carrier,2019,EIV (3.96 gCO₂/t·nm),EIV,3.96,Hong Kong,Hong Kong,2548.8,7958.13,873.58,4068.84,2715.6,300.11,2087.7,112.08,2.18,349.96,6.82,3.811912631125162,3.12230461393597,6.82
Bulk carrier,2019,EEDI (3.48 gCO₂/t·nm),EEDI,3.48,PANAMA,,6145.54,19274.54,2447.29,7431.06,8122.12,1274.07,5018.5,97.13,2.14,304.63,6.72,3.840697419547674,3.1363460330581203,6.72
Bulk carrier,2019,EEDI (3.53 gCO₂/t·nm),EEDI,3.53,PANAMA,,4943.45,15554.08,3416.69,5053.88,5918.47,1165.04,4008.7,104.37,1.97,328.39,6.2,3.880080824207349,3.1464018044078528,6.2
Bulk carrier,2019,EEDI (5.02 gCO₂/t·nm),EEDI,5.02,VALLETTA,,895.84,2794.47,0.0,1960.46,730.37,103.64,1102.0,79.03,2.41,246.51,7.53,2.5358166969147002,3.1193851580639396,7.53
Bulk carrier,2019,EIV (4.3 gCO₂/t·nm),EIV,4.3,Monrovia,,834.73,2626.83,695.47,1161.99,644.23,125.14,676.0,110.86,4.17,348.86,13.11,3.885843195266272,3.146921759131695,13.11
Bulk carrier,2019,EIV (4.3 gCO₂/t·nm),EIV,4.3,Monrovia,,2933.53,9196.45,458.18,2468.61,6018.57,251.11,2343.2,105.36,1.8,330.3,5.63,3.924739672243087,3.134943225397388,5.63
Bulk carrier,2019,EEDI (3.53 gCO₂/t·nm),EEDI,3.53,Monrovia,,3319.92,10401.26,0.0,5092.31,4971.97,337.0,2946.5,92.74,2.32,290.55,7.25,3.530039029356864,3.1329851321718594,7.25
Bulk carrier,2019,EIV (4.15 gCO₂/t·nm),EIV,4.15,Monrovia,,2696.22,8437.5,1723.46,2050.53,4258.65,404.84,2103.05,103.09,2.35,322.59,7.37,4.01203014669171,3.129381133587022,7.37
Bulk carrier,2019,EEDI (5.21 gCO₂/t·nm),EEDI,5.21,,,2453.44,7681.09,478.39,2888.75,3982.38,331.57,3435.0,75.63,2.46,236.79,7.7,2.2361251819505097,3.130742956827964,7.7
Bulk carrier,2019,EEDI (5.22 gCO₂/t·nm),EEDI,5.22,,,1540.28,4801.66,0.0,904.16,3859.0,38.5,2006.0,75.21,2.46,234.44,7.67,2.3936490528414756,3.11739424000831,7.67
Bulk carrier,2019,EIV (5.78 gCO₂/t·nm),EIV,5.78,Valletta,Valletta,786.8,2467.99,1120.3,971.56,113.72,262.41,975.33,104.56,2.95,327.97,9.25,2.5304153466006376,3.1367437722419926,9.25
Bulk carrier,2019,EEDI (3.62 gCO₂/t·nm),EEDI,3.62,Monrovia,,2255.84,7048.22,30.17,3185.48,3563.67,260.44,2554.6,90.3,2.89,282.13,9.02,2.7590307680263058,3.1244325838711964,9.02
Bulk carrier,2019,EEDI (3.59 gCO₂/t·nm),EEDI,3.59,Panama,,5268.69,16536.91,2130.69,7629.86,6160.36,616.0,4921.6,97.98,2.71,307.52,8.51,3.3600678641092325,3.1387137979269992,8.51
Bulk carrier,2019,EEDI (5.19 gCO₂/t·nm),EEDI,5.19,PANAMA,,355.31,1120.87,566.52,499.81,0.0,54.53,475.41,74.3,2.77,234.39,8.75,2.357691255968532,3.154625538262362,8.75
Bulk carrier,2019,EEDI (5.16 gCO₂/t·nm),EEDI,5.16,PANAMA,,708.75,2211.01,55.64,231.34,1778.96,145.05,756.74,71.93,2.32,224.39,7.24,2.9217564817506676,3.1195908289241627,7.24
Bulk carrier,2019,EEDI (5.14 gCO₂/t·nm),EEDI,5.14,MAJURO,,2347.16,7379.95,1869.05,2194.98,2804.57,511.35,2792.55,74.47,2.73,234.14,8.59,2.6427279726414925,3.1442040593738816,8.59
Bulk carrier,2019,EEDI (5.33 gCO₂/t·nm),EEDI,5.33,MAJURO,,1413.47,4433.15,1224.58,1527.51,1335.51,345.51,1574.37,73.88,2.66,231.73,8.34,2.815824742595451,3.136359455807339,8.34
Bulk carrier,2019,EEDI (3.54 gCO₂/t·nm),EEDI,3.54,Majuro,,617.2,1935.33,0.0,279.56,1585.88,69.89,714.2,79.62,1.66,249.66,5.19,2.709787174460935,3.1356610499027866,5.19
Bulk carrier,2019,EEDI (3.6 gCO₂/t·nm),EEDI,3.6,Majuro,,932.99,2917.31,30.78,999.96,1691.47,195.11,934.0,86.89,2.0,271.71,6.26,3.1234582441113488,3.126839515964801,6.26
Bulk carrier,2019,EEDI (3.53 gCO₂/t·nm),EEDI,3.53,Monrovia,,2603.49,8156.46,0.0,657.82,5104.65,2393.98,1947.15,135.03,2.47,423.02,7.73,4.188922271011478,3.1328946913566025,7.73
Bulk carrier,2019,EEDI (3.55 gCO₂/t·nm),EEDI,3.55,Monrovia,,1033.27,3243.87,623.48,986.24,1354.56,279.6,1149.47,89.87,2.34,282.15,7.33,2.822057121977955,3.1394214484113543,7.33
Bulk carrier,2019,EEDI (3.52 gCO₂/t·nm),EEDI,3.52,Monrovia,,862.49,2693.54,128.21,841.68,1600.05,123.58,692.0,106.2,2.49,331.68,7.77,3.8923988439306356,3.122981136013171,7.77
Bulk carrier,2019,EEDI (3.94 gCO₂/t·nm),EEDI,3.94,Majuro,,583.57,1821.11,0.0,65.71,1725.06,30.35,550.5,82.23,1.65,256.6,5.15,3.308101725703905,3.1206367702246514,5.15
Bulk carrier,2019,EEDI (3.78 gCO₂/t·nm),EEDI,3.78,Hong Kong,,855.4,2667.38,535.02,390.84,1623.21,118.3,800.4,92.75,3.44,289.21,10.74,3.3325587206396805,3.118283843815759,10.74
Bulk carrier,2019,EEDI (3.75 gCO₂/t·nm),EEDI,3.75,Hong Kong,,2040.41,6397.84,0.0,2868.28,3387.76,141.8,1968.07,87.18,1.89,273.37,5.93,3.2508193306132407,3.1355658911689317,5.93
Bulk carrier,2019,EEDI (3.83 gCO₂/t·nm),EEDI,3.83,HONG KONG,HONG KONG,1819.08,5698.4,439.23,2309.94,2838.86,110.37,1587.91,89.8,2.04,281.29,6.4,3.58861648330195,3.1325725091804646,6.4
Bulk carrier,2019,EEDI (3.9 gCO₂/t·nm),EEDI,3.9,HONG KONG,HONG KONG,1746.17,5465.49,867.93,1098.56,3095.72,403.28,1675.4,88.92,2.5,278.31,7.83,3.262200071624686,3.129987343729419,7.83
Bulk carrier,2019,EEDI (3.78 gCO₂/t·nm),EEDI,3.78,Hong Kong,,2500.01,7841.1,101.5,2160.98,5390.79,187.82,2895.73,104.48,2.31,327.68,7.23,2.7078146097875146,3.1364274542901827,7.23
Bulk carrier,2019,EEDI (3.83 gCO₂/t·nm),EEDI,3.83,HONG KONG,,2627.18,8237.69,2461.23,1070.95,4305.55,399.95,2410.48,99.4,2.7,311.67,8.48,3.4174479771663737,3.135563608127346,8.48
Bulk carrier,2019,EEDI (3.81 gCO₂/t·nm),EEDI,3.81,HONG KONG,hong kong,733.87,2296.31,0.0,462.63,1748.28,85.4,909.3,83.72,1.86,261.96,5.81,2.525360167161553,3.1290419284069384,5.81
Bulk carrier,2019,EEDI (4.47 gCO₂/t·nm),EEDI,4.47,Majuro,,1487.81,4670.32,292.83,1366.39,2633.47,377.62,1938.6,70.57,2.5,221.54,7.84,2.4091199834932424,3.1390567343948486,7.84
Bulk carrier,2019,EEDI (4.53 gCO₂/t·nm),EEDI,4.53,Majuro,,1027.65,3228.82,197.01,224.42,2660.21,147.19,1447.9,68.4,2.29,214.9,7.19,2.230002071966296,3.14194521481049,7.19
Bulk carrier,2019,EEDI (4.6 gCO₂/t·nm),EEDI,4.6,Hong Kong,Hong Kong,936.0,2930.16,0.0,377.0,2427.0,124.0,1318.0,63.97,2.34,200.27,7.34,2.223186646433991,3.1305128205128203,7.34
Bulk carrier,2019,EEDI (3.78 gCO₂/t·nm),EEDI,3.78,Majuro,,631.9,1974.17,227.45,1519.91,58.02,168.79,746.0,83.41,2.58,260.58,8.07,2.6463404825737267,3.124181041304004,8.07
Bulk carrier,2019,EEDI (3.84 gCO₂/t·nm),EEDI,3.84,Majuro,,361.15,1125.96,0.0,987.51,113.17,25.28,518.85,74.7,1.68,232.89,5.23,2.170106967331599,3.1177073238266653,5.23
Bulk carrier,2019,EEDI (3.79 gCO₂/t·nm),EEDI,3.79,Majuro,,244.77,764.89,0.0,53.84,614.42,96.63,198.5,99.74,2.5,311.69,7.8,3.8533501259445844,3.1249336111451567,7.8
Bulk carrier,2019,EIV (6.27 gCO₂/t·nm),EIV,6.27,Singapore,-,834.51,2603.56,106.77,374.87,1974.54,95.92,1058.0,75.31,2.81,234.96,8.78,2.4608317580340264,3.11986674815161,8.78
Bulk carrier,2019,EEDI (3.87 gCO₂/t·nm),EEDI,3.87,Hong Kong,Hong Kong,652.19,2046.75,170.94,180.56,1646.09,49.15,861.33,84.88,2.31,266.36,7.25,2.3762669360175543,3.1382725892761307,7.25
Bulk carrier,2019,EEDI (3.52 gCO₂/t·nm),EEDI,3.52,Douglas,,2098.59,6575.5,0.0,3087.85,3230.3,257.35,1949.88,92.35,2.45,289.36,7.68,3.3722588056700924,3.1332942594789834,7.68
Bulk carrier,2019,EEDI (3.94 gCO₂/t·nm),EEDI,3.94,Panama,,1890.88,5924.41,110.96,1446.26,4181.87,185.32,1916.1,83.97,1.93,263.1,6.06,3.0919106518448936,3.133149644609917,6.06
Bulk carrier,2019,EEDI (3.55 gCO₂/t·nm),EEDI,3.55,Majuro,,4486.31,14092.25,2082.88,5483.65,5867.79,657.88,5622.0,91.88,2.8,288.6,8.8,2.5066257559587335,3.141167239892027,8.8
Bulk carrier,2019,EEDI (3.58 gCO₂/t·nm),EEDI,3.58,Majuro,,1380.18,4328.93,0.0,1303.82,2828.68,196.45,1481.75,82.91,1.79,260.04,5.6,2.921498228446094,3.136496688837688,5.6
Bulk carrier,2019,EEDI (3.57 gCO₂/t·nm),EEDI,3.57,Majuro,,1936.13,6062.42,299.8,1589.57,3931.23,241.83,2118.6,89.83,1.96,281.27,6.15,2.861521759652601,3.1312050327199104,6.15
Bulk carrier,2019,EEDI (3.56 gCO₂/t·nm),EEDI,3.56,Majuro,,2898.79,9056.7,415.87,3065.08,5247.0,328.71,3579.0,88.32,2.39,275.95,7.46,2.5305113160100587,3.12430358873875,7.46
Bulk carrier,2019,EEDI (3.58 gCO₂/t·nm),EEDI,3.58,Monrovia,,2639.7,8247.66,0.0,2577.76,4615.68,1054.22,2477.4,107.41,2.5,335.61,7.81,3.329159602809397,3.124468689623821,7.81
Bulk carrier,2019,EEDI (4.44 gCO₂/t·nm),EEDI,4.44,Singapore,,678.1,2129.87,117.5,1016.62,880.71,115.05,1190.8,71.57,2.7,224.81,8.49,1.7886042996305005,3.1409379147618344,8.49
Bulk carrier,2019,EEDI (4.94 gCO₂/t·nm),EEDI,4.94,MAJURO,,1755.31,5498.33,1647.41,1956.62,1534.16,360.13,1996.05,79.01,4.9,247.5,15.34,2.754605345557476,3.1323982658333858,15.34
Bulk carrier,2019,EEDI (4.96 gCO₂/t·nm),EEDI,4.96,MAJURO,,547.86,1716.74,0.0,1716.74,0.0,0.0,595.7,72.63,2.08,227.58,6.5,2.881886855799899,3.1335377651224765,6.5
Bulk carrier,2019,EEDI (3.9 gCO₂/t·nm),EEDI,3.9,SINGAPORE,,730.86,2293.98,63.22,1058.91,995.14,176.71,872.9,92.16,2.21,289.26,6.93,2.6279986252720815,3.138740661686233,6.93
Bulk carrier,2019,EEDI (3.9 gCO₂/t·nm),EEDI,3.9,Singapore,,801.88,2533.84,0.0,2381.43,91.79,60.63,1469.0,97.47,2.32,307.99,7.33,1.7248740639891083,3.1598742954057966,7.33
Bulk carrier,2019,EEDI (4.28 gCO₂/t·nm),EEDI,4.28,PANAMA,,1491.83,4670.88,30.84,1997.41,2577.64,64.99,1609.6,80.57,1.59,252.28,4.97,2.901888667992048,3.1309733682792276,4.97
Bulk carrier,2019,EEDI (3.99 gCO₂/t·nm),EEDI,3.99,Bergen,,761.44,2375.54,0.0,202.2,2115.75,57.58,902.18,95.23,2.18,297.09,6.79,2.6331109091312155,3.1197993275898295,6.79
Bulk carrier,2019,EEDI (4.73 gCO₂/t·nm),EEDI,4.73,Hong Kong,,1252.58,3915.13,709.79,80.17,3075.78,49.4,2083.1,76.15,2.72,238.03,8.49,1.8794729009649083,3.1256526529243644,8.49
Bulk carrier,2019,EEDI (4.64 gCO₂/t·nm),EEDI,4.64,Hong Kong,,1233.08,3884.57,880.74,1969.51,373.39,660.96,1402.0,86.28,3.32,271.8,10.46,2.770734664764622,3.150298439679502,10.46
Bulk carrier,2019,EEDI (4.02 gCO₂/t·nm),EEDI,4.02,PANAMA,,272.97,868.72,245.48,522.89,0.0,100.35,430.0,62.78,2.11,199.8,6.7,2.020279069767442,3.182474264571198,6.7
Bulk carrier,2019,EEDI (3.86 gCO₂/t·nm),EEDI,3.86,Panama,,884.1,2761.26,22.75,1265.42,1339.71,133.37,1069.5,79.86,1.66,249.44,5.17,2.5818232819074334,3.1232439769256874,5.17
Bulk carrier,2019,EEDI (3.84 gCO₂/t·nm),EEDI,3.84,Panama,Panama,681.2,2125.45,6.85,350.11,1697.54,70.95,765.5,89.55,1.96,279.41,6.11,2.776551273677335,3.1201556077510273,6.11
Bulk carrier,2019,EEDI (3.92 gCO₂/t·nm),EEDI,3.92,Majuro,,516.78,1615.23,0.0,618.88,834.22,162.13,671.0,97.34,3.48,304.24,10.88,2.4071982116244413,3.12556600487635,10.88
Bulk carrier,2019,EEDI (4.56 gCO₂/t·nm),EEDI,4.56,Madeira,,587.01,1840.89,790.64,76.3,924.55,49.4,898.3,59.62,3.06,186.97,9.59,2.0493042413447626,3.136045382531814,9.59
Bulk carrier,2019,EEDI (4.6 gCO₂/t·nm),EEDI,4.6,Monrovia,,1112.6,3492.63,0.0,2752.39,665.54,74.7,1661.5,62.64,2.48,196.62,7.78,2.102094492928077,3.139160524896639,7.78
Bulk carrier,2019,EIV (5.55 gCO₂/t·nm),EIV,5.55,MONROVIA,,877.2,2765.48,268.98,1455.14,812.76,228.59,1064.96,77.82,2.3,245.34,7.24,2.5967923677884617,3.152621979024168,7.24
Bulk carrier,2019,EEDI (4.27 gCO₂/t·nm),EEDI,4.27,SINGAPORE,,1953.19,6100.17,59.21,2357.34,3445.53,238.08,1764.1,90.57,2.13,282.87,6.66,3.4579502295788225,3.1231831004664166,6.66
Bulk carrier,2019,EEDI (4.92 gCO₂/t·nm),EEDI,4.92,Hong Kong,Hong Kong,2386.47,7484.02,767.5,3691.0,2739.33,286.19,2490.72,92.66,2.12,290.58,6.65,3.0047616753388584,3.1360209849694325,6.65
Bulk carrier,2019,EEDI (4.06 gCO₂/t·nm),EEDI,4.06,NASSAU,,1097.8,3422.73,0.0,2097.81,1297.03,27.89,1328.0,75.38,2.6,235.03,8.11,2.5773569277108432,3.1178083439606485,8.11
Bulk carrier,2019,EEDI (4.1 gCO₂/t·nm),EEDI,4.1,Nassau,,1097.8,3422.73,0.0,2097.81,1297.03,27.89,1328.0,75.38,2.6,235.03,8.11,2.5773569277108432,3.1178083439606485,8.11
Bulk carrier,2019,EEDI (4.11 gCO₂/t·nm),EEDI,4.11,NASSAU,,1827.0,5701.52,122.31,2655.63,2688.91,234.68,1965.8,83.33,2.55,260.05,7.97,2.900356089124021,3.120700602079913,7.97
Bulk carrier,2019,EIV (4.5 gCO₂/t·nm),EIV,4.5,NASSAU,,233.7,728.85,0.0,658.55,40.81,29.49,372.6,78.06,2.08,243.44,6.49,1.9561191626409018,3.1187419768934532,6.49
Bulk carrier,2019,EEDI (5.3 gCO₂/t·nm),EEDI,5.3,SINGAPORE,,2463.68,7719.8,981.1,4367.45,2113.79,257.47,4620.4,65.04,2.44,203.79,7.63,1.6708077222751279,3.1334426548902456,7.63
Bulk carrier,2019,EEDI (5.29 gCO₂/t·nm),EEDI,5.29,"Hong Kong, China","Hong Kong, China",599.01,1874.43,42.48,734.56,990.89,106.5,928.6,63.7,2.06,199.32,6.44,2.01855481369804,3.129213201782942,6.44
Bulk carrier,2019,EEDI (4.51 gCO₂/t·nm),EEDI,4.51,Singapore,,880.56,2768.39,257.28,2357.0,0.0,154.11,744.4,104.52,2.14,328.59,6.72,3.718954862976894,3.1438970655037703,6.72
Bulk carrier,2019,EEDI (4.5 gCO₂/t·nm),EEDI,4.5,Singapore,,1593.06,4981.67,403.93,2481.09,1937.36,159.29,1452.8,93.4,2.26,292.08,7.07,3.4290129405286347,3.1271075791244525,7.07
Bulk carrier,2019,EEDI (4.94 gCO₂/t·nm),EEDI,4.94,Bangkok,-,1178.41,3693.79,766.04,2131.41,568.42,227.91,1256.7,86.69,1.95,271.72,6.11,2.939277472746081,3.1345541874220344,6.11
Bulk carrier,2019,EEDI (4.94 gCO₂/t·nm),EEDI,4.94,Bangkok,-,485.06,1528.62,0.0,131.19,1351.94,45.49,526.3,100.01,1.99,315.18,6.28,2.9044651339540186,3.1514039500268005,6.28
Bulk carrier,2019,EEDI (4.94 gCO₂/t·nm),EEDI,4.94,Singapore,-,2310.16,7252.23,512.25,2830.34,3632.47,277.16,2803.36,87.71,2.01,275.35,6.32,2.586977769533702,3.139276067458531,6.32
Bulk carrier,2019,EEDI (3.87 gCO₂/t·nm),EEDI,3.87,Monrovia,,2439.81,7665.39,325.19,3489.41,3558.98,291.82,3413.34,93.76,2.21,294.58,6.93,2.245715340399726,3.1417979268877496,6.93
Bulk carrier,2019,EIV (3.62 gCO₂/t·nm),EIV,3.62,Panama,,1785.4,5578.49,0.0,2175.95,3297.4,105.14,2431.31,100.73,2.23,314.74,6.97,2.2944379778802375,3.1245043127590453,6.97
Bulk carrier,2019,EIV (5.61 gCO₂/t·nm),EIV,5.61,Singapore,,5024.7,15857.48,4619.91,5700.81,3782.49,1754.27,4854.37,108.22,3.2,341.53,10.09,3.2666401613391645,3.1559058252233965,10.09
Bulk carrier,2019,EEDI (4.73 gCO₂/t·nm),EEDI,4.73,Hong Kong,,498.39,1564.55,87.25,436.4,970.82,70.08,969.8,78.55,3.71,246.58,11.66,1.613270777479893,3.139208250566825,11.66
Bulk carrier,2019,EEDI (4.62 gCO₂/t·nm),EEDI,4.62,Panama City,Panama City,223.23,703.8,0.0,0.0,580.25,123.56,223.8,84.78,3.0,267.3,9.44,3.144772117962466,3.1528020427361914,9.44
Bulk carrier,2019,EEDI (3.73 gCO₂/t·nm),EEDI,3.73,Panama,Panama,3562.33,11147.4,867.75,3161.03,4567.36,1141.09,2928.26,109.05,2.46,341.23,7.69,3.8068340926010666,3.1292440621727913,7.69
Bulk carrier,2019,EEDI (3.73 gCO₂/t·nm),EEDI,3.73,Panama,Panama,4573.23,14370.87,4137.66,3088.49,2876.99,1175.33,4426.24,90.01,2.4,282.85,7.54,3.2467444151243496,3.142389514631891,7.54
Bulk carrier,2019,EIV (3.94 gCO₂/t·nm),EIV,3.94,Panama,Panama,706.82,2226.94,215.83,855.2,886.58,269.34,790.7,84.31,2.02,265.62,6.36,2.8164158340710763,3.150646557822359,6.36
Bulk carrier,2019,EEDI (3.74 gCO₂/t·nm),EEDI,3.74,Singapore,,895.91,2812.57,73.92,787.29,1859.35,92.01,1529.7,86.43,2.39,271.33,7.5,1.8386415637053017,3.139344353785537,7.5
Bulk carrier,2019,EEDI (4.08 gCO₂/t·nm),EEDI,4.08,PANAMA,,719.14,2267.52,202.3,1195.28,758.43,111.5,895.9,74.69,1.58,235.51,4.97,2.5309967630315886,3.153099535556359,4.97
Bulk carrier,2019,EEDI (3.61 gCO₂/t·nm),EEDI,3.61,Panama,,3331.8,10412.1,0.0,3439.71,6871.0,100.0,3209.08,95.45,1.76,298.28,5.51,3.2445747690927,3.1250675310642895,5.51
Bulk carrier,2019,EEDI (4.6 gCO₂/t·nm),EEDI,4.6,Monrovia,,1785.79,5619.76,687.96,1600.83,3120.3,210.68,2583.05,71.3,2.99,224.38,9.41,2.1756295851803102,3.146932170075989,9.41
Bulk carrier,2019,EEDI (4.76 gCO₂/t·nm),EEDI,4.76,Monrovia,,2105.2,6617.29,335.99,3665.66,2213.5,402.15,2955.08,71.72,2.78,225.43,8.72,2.239293014063917,3.1433070492114767,8.72
Bulk carrier,2019,EIV (3.56 gCO₂/t·nm),EIV,3.56,,,1673.96,5295.5,1127.46,275.07,3161.82,731.14,1558.5,102.69,2.02,324.85,6.4,3.3978184151427655,3.163456713422065,6.4
Bulk carrier,2019,EEDI (3.95 gCO₂/t·nm),EEDI,3.95,Hong Kong,,1456.17,4548.65,380.06,795.55,2589.56,783.47,1107.0,108.58,3.02,339.17,9.42,4.108988256549232,3.1237080835342024,9.42
Bulk carrier,2019,EEDI (3.83 gCO₂/t·nm),EEDI,3.83,Hongkong,,846.42,2644.65,149.67,2221.6,46.81,226.55,636.72,102.81,1.84,321.23,5.76,4.1535525819826615,3.1245126532926917,5.76
Bulk carrier,2019,EEDI (3.78 gCO₂/t·nm),EEDI,3.78,Hong Kong,,1223.1,3835.15,546.81,382.49,2493.22,412.63,948.33,101.3,2.52,317.64,7.91,4.044109118133983,3.135598070476658,7.91
Bulk carrier,2019,EEDI (3.81 gCO₂/t·nm),EEDI,3.81,"Hong Kong, China",,1385.57,4329.23,249.99,3164.66,718.73,195.85,1127.24,96.43,2.57,301.29,8.03,3.840557467797452,3.1245119337168097,8.03
Bulk carrier,2019,EEDI (3.73 gCO₂/t·nm),EEDI,3.73,,,5433.56,17133.9,712.7,7062.25,8678.43,680.48,6736.0,113.07,2.85,356.56,9.0,2.5436312351543946,3.1533469769359317,9.0
Bulk carrier,2019,EEDI (3.8 gCO₂/t·nm),EEDI,3.8,,,5527.54,17351.15,1523.63,8662.77,6779.78,384.97,5148.0,110.73,2.19,347.59,6.87,3.370464257964258,3.1390365334307853,6.87
Bulk carrier,2019,EEDI (3.52 gCO₂/t·nm),EEDI,3.52,SINGAPORE,,743.24,2318.58,0.0,718.99,1495.03,104.55,549.9,101.09,2.57,315.37,8.01,4.216366612111293,3.119557612615037,8.01
Bulk carrier,2019,EEDI (4.2 gCO₂/t·nm),EEDI,4.2,Monrovia,,1161.28,3639.02,229.92,2122.51,1217.33,69.25,1485.0,85.55,2.18,268.09,6.84,2.4505185185185185,3.1336284100303113,6.84
Bulk carrier,2019,EEDI (4.22 gCO₂/t·nm),EEDI,4.22,Monrovia,,2243.94,7024.58,228.34,4093.35,2485.52,217.37,4491.64,74.45,1.7,233.06,5.32,1.5639231995440417,3.130466946531547,5.32
Bulk carrier,2019,EEDI (3.53 gCO₂/t·nm),EEDI,3.53,PANAMA,,1545.01,4908.99,2158.15,420.32,1503.26,827.28,1305.25,99.97,2.02,317.65,6.42,3.7609576709442636,3.1773192406521638,6.42
