Ship type,Reporting Period,Technical efficiency,tech_eff_name,tech_eff,Port of Registry,Home Port,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],Annual Total time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],C02 emissions per hour,C02 emissions per fuel consumption,EEOI_Index
Bulk carrier,2018,EIV (5.83 gCO₂/t·nm),EIV,5.83,,,956.0,2985.91,659.0,303.0,1800.0,223.0,1149.2,85.99,2.62,268.58,8.18,2.5982509571876085,3.123336820083682,8.18
Bulk carrier,2018,EIV (6.34 gCO₂/t·nm),EIV,6.34,Douglas,,1221.86,3833.95,0.0,2371.52,1366.09,96.34,2036.5,71.43,2.65,224.14,8.33,1.8826172354529829,3.1377981110765556,8.33
Bulk carrier,2018,EIV (6.59 gCO₂/t·nm),EIV,6.59,Monrovia,,1002.89,3137.96,0.0,691.57,2406.53,39.85,1250.85,71.6,3.17,224.03,9.93,2.5086621097653596,3.1289174286312558,9.93
Bulk carrier,2018,EIV (6.76 gCO₂/t·nm),EIV,6.76,"Hong Kong, China","Hong Kong, China",1025.1,3212.09,34.95,1521.43,1502.47,153.25,1329.3,74.53,3.56,233.54,11.16,2.416377040547657,3.1334406399375676,11.16
Bulk carrier,2018,EIV (4.95 gCO₂/t·nm),EIV,4.95,Manila,,2696.8,8422.51,244.51,2325.82,5603.39,248.79,2982.56,95.23,3.29,297.41,10.27,2.8239197199721047,3.1231496588549392,10.27
Bulk carrier,2018,EIV (5.3 gCO₂/t·nm),EIV,5.3,,,1756.45,5493.09,0.0,2379.93,2874.45,119.43,1442.0,91.02,4.59,284.65,14.34,3.809355062413315,3.1273819351532923,14.34
Bulk carrier,2018,EIV (6.44 gCO₂/t·nm),EIV,6.44,Geroge Town,,1741.0,5474.55,2875.27,1083.38,1260.7,255.52,2170.41,77.02,4.4,242.18,13.83,2.5223575269188774,3.1444859276278003,13.83
Bulk carrier,2018,EIV (7.16 gCO₂/t·nm),EIV,7.16,"Hong Kong, China","Hong Kong, China",611.6,1912.89,0.0,605.27,1239.33,68.29,818.6,72.69,2.62,227.35,8.19,2.336782311263132,3.1276814911707,8.19
Bulk carrier,2018,EIV (7.16 gCO₂/t·nm),EIV,7.16,"Hong Kong, China","Hong Kong, China",824.0,2581.82,0.0,1047.97,1454.34,79.51,1039.9,76.23,3.76,238.86,11.79,2.482757957495913,3.1332766990291265,11.79
Bulk carrier,2018,EIV (6.94 gCO₂/t·nm),EIV,6.94,Majuro,,1674.06,5301.52,489.35,2055.48,2506.6,250.1,2033.4,81.14,3.72,256.94,11.78,2.607219435428347,3.1668637922177227,11.78
Bulk carrier,2018,EIV (5.4 gCO₂/t·nm),EIV,5.4,Panama,Panama,1241.11,3896.49,314.32,1062.23,1899.35,620.58,1003.0,98.89,2.96,310.48,9.28,3.8848354935194416,3.139520268147062,9.28
Bulk carrier,2018,EIV (5.83 gCO₂/t·nm),EIV,5.83,Panama,Panama,599.03,1867.85,0.0,58.26,1755.69,53.89,606.34,90.53,1.97,282.28,6.15,3.0805323745753204,3.1181243009532076,6.15
Bulk carrier,2018,EIV (6.29 gCO₂/t·nm),EIV,6.29,Monrovia,,613.87,1919.76,153.9,855.43,812.14,98.3,625.95,91.39,4.64,285.81,14.51,3.066954229571052,3.127307084561878,14.51
Bulk carrier,2018,EIV (6.61 gCO₂/t·nm),EIV,6.61,PANAMA,,1757.67,5504.61,1417.11,3359.35,618.73,109.45,2185.1,76.83,3.13,240.61,9.79,2.519157017985447,3.131765348444247,9.79
Bulk carrier,2018,EIV (6.95 gCO₂/t·nm),EIV,6.95,Majuro,,1851.93,5827.28,452.37,2512.07,2635.35,227.49,2131.5,86.58,4.31,272.44,13.56,2.733886934083978,3.1465984135469482,13.56
Bulk carrier,2018,EIV (6.51 gCO₂/t·nm),EIV,6.51,MAJURO,,532.87,1661.44,0.0,1522.64,89.79,48.98,449.63,94.58,2.9,294.88,9.05,3.6951271045081513,3.1179086831685026,9.05
Bulk carrier,2018,EIV (4.59 gCO₂/t·nm),EIV,4.59,Monrovia,,3034.61,9544.98,1879.0,3493.0,3892.0,281.0,2954.0,95.29,2.26,299.73,7.1,3.231205145565335,3.1453728815234903,7.1
Bulk carrier,2018,EIV (4 gCO₂/t·nm),EIV,4.0,Monrovia,,3885.2,12125.32,1145.9,6694.9,4223.7,60.6,4784.0,92.17,2.05,287.65,6.4,2.534556856187291,3.1208998249768354,6.4
Bulk carrier,2018,EIV (5.06 gCO₂/t·nm),EIV,5.06,Panama,,1650.28,5164.48,378.0,1911.0,2537.0,338.0,1456.0,92.26,2.56,288.73,8.02,3.5470329670329668,3.1294568194488206,8.02
Bulk carrier,2018,EIV (5.06 gCO₂/t·nm),EIV,5.06,Panama,,459.5,1436.31,0.0,1199.0,109.0,128.0,495.0,85.82,2.17,268.27,6.78,2.9016363636363636,3.1258106637649616,6.78
Bulk carrier,2018,EIV (5.07 gCO₂/t·nm),EIV,5.07,Panama,,860.9,2700.57,111.0,1188.0,1097.0,305.0,853.0,92.11,2.37,288.95,7.43,3.1659671746776086,3.136914856545476,7.43
Bulk carrier,2018,EIV (4.65 gCO₂/t·nm),EIV,4.65,Monrovia,,1615.61,5057.75,304.46,2693.38,1701.44,412.45,2144.03,117.99,3.86,369.37,12.1,2.3589921782810874,3.130551308793583,12.1
Bulk carrier,2018,EIV (5.51 gCO₂/t·nm),EIV,5.51,Hong Kong,,2583.41,8073.16,0.0,3389.81,4448.32,235.03,2304.81,96.19,2.28,300.59,7.12,3.5027442609152164,3.1250014515698243,7.12
Bulk carrier,2018,EIV (6.07 gCO₂/t·nm),EIV,6.07,VALLETTA,,895.8,2812.99,11.54,80.42,2006.06,714.97,1315.83,81.57,3.17,256.15,9.95,2.1378065555580887,3.1401987050680953,9.95
Bulk carrier,2018,EIV (6.94 gCO₂/t·nm),EIV,6.94,Majuro,,2888.21,9158.62,1713.66,2515.05,4594.4,335.51,3891.6,78.36,3.6,248.48,11.42,2.353433035255422,3.171036732093581,11.42
